Iteration,Timestamp,Path,ShareRelativePath,ClientComputerName,ClientUserName,ContinuouslyAvailable,Locks
58,2023-07-03 13:00:35,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
59,2023-07-03 13:00:36,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
60,2023-07-03 13:00:37,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
61,2023-07-03 13:00:38,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
62,2023-07-03 13:00:39,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
63,2023-07-03 13:00:40,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
64,2023-07-03 13:00:41,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
65,2023-07-03 13:00:42,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
66,2023-07-03 13:00:43,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
67,2023-07-03 13:00:44,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
68,2023-07-03 13:00:45,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
69,2023-07-03 13:00:46,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
70,2023-07-03 13:00:47,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
71,2023-07-03 13:00:48,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
72,2023-07-03 13:00:49,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
73,2023-07-03 13:00:50,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
74,2023-07-03 13:00:51,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
75,2023-07-03 13:00:52,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
76,2023-07-03 13:00:53,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
77,2023-07-03 13:00:54,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
78,2023-07-03 13:00:55,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
79,2023-07-03 13:00:56,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
80,2023-07-03 13:00:57,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
81,2023-07-03 13:00:59,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
82,2023-07-03 13:01:00,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
83,2023-07-03 13:01:01,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
84,2023-07-03 13:01:02,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
85,2023-07-03 13:01:03,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
86,2023-07-03 13:01:04,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
87,2023-07-03 13:01:05,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
88,2023-07-03 13:01:06,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
89,2023-07-03 13:01:07,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
90,2023-07-03 13:01:08,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
91,2023-07-03 13:01:09,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
92,2023-07-03 13:01:10,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
93,2023-07-03 13:01:11,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
94,2023-07-03 13:01:12,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
95,2023-07-03 13:01:13,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
96,2023-07-03 13:01:14,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
97,2023-07-03 13:01:15,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
98,2023-07-03 13:01:16,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
99,2023-07-03 13:01:17,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
100,2023-07-03 13:01:18,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
101,2023-07-03 13:01:19,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
102,2023-07-03 13:01:20,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
103,2023-07-03 13:01:21,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
104,2023-07-03 13:01:22,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
105,2023-07-03 13:01:23,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
106,2023-07-03 13:01:24,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
107,2023-07-03 13:01:25,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
108,2023-07-03 13:01:26,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
109,2023-07-03 13:01:27,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
110,2023-07-03 13:01:28,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
111,2023-07-03 13:01:29,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
112,2023-07-03 13:01:30,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
113,2023-07-03 13:01:31,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
114,2023-07-03 13:01:32,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
115,2023-07-03 13:01:33,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
116,2023-07-03 13:01:34,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
117,2023-07-03 13:01:35,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
118,2023-07-03 13:01:36,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
119,2023-07-03 13:01:37,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
120,2023-07-03 13:01:38,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
121,2023-07-03 13:01:39,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
122,2023-07-03 13:01:40,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
123,2023-07-03 13:01:41,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
124,2023-07-03 13:01:42,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
125,2023-07-03 13:01:43,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
126,2023-07-03 13:01:44,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
127,2023-07-03 13:01:45,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
128,2023-07-03 13:01:46,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
129,2023-07-03 13:01:47,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
130,2023-07-03 13:01:48,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
131,2023-07-03 13:01:49,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
132,2023-07-03 13:01:50,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
133,2023-07-03 13:01:51,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
134,2023-07-03 13:01:52,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
135,2023-07-03 13:01:53,\winreg,winreg,10.12.10.93,WW\s.at.p2vmonitoring,FALSE,0
