Id,Name,Description,Comments
290,data.Yemen.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
114,data.Yemen.Economics,Data access to country Yemen (economist),[DATA] PRMS create-read-update-delete 
172,data.Yemen.Finance,Data access to country Yemen (financials),[DATA] PRMS create-read-update-delete 
428,data.Yemen.LCB,Data access to country Yemen (LCB),Dedicated group for LCB users  (restrict access to LCB nodetypes)
336,data.Yemen.Other,Data access to country Yemen (Other functions or light Economics/Finance users),This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for "light" functional users
151,data.Yemen.Planning,Data access to country Yemen (full access),[DATA] PRMS full access
439,data.Yemen.PRMS,Data access to country Yemen (PRMS),Dedicated group for PRMS users  (restrict access to PRMS nodetypes)
221,data.Yemen.Reserves,Data access to country Yemen (Reserves),[DATA] PRMS create-read-update-delete 
353,Dataflow.base,Role: Access to Dataflow Module,
331,Dataflow.baseplus,Role: Dataflow.base plus Manage Scenarios: Hierarchy: Move - Delete - Rename,
21,DataFlow.key,Role: Dataflow key user ,Dataflow Key user in Branchoffice
22,DataFlow.power,Role: Dataflow power user,Dataflow Power user in Headoffice
338,Dataflow.quicklook,Role: Quicklook Administrator,This role, performed by Economists, sets Economics Settings to facilitate quicklook calculations for users.
65,Dataflow.unlock,Role: Dataflow.unlock,Unlock objects in Dataflow
40,Developer,internal & external developers,permissions needed for developers
314,Economics.base,Role: Access to Economics Module,
24,Economics.key,Role: Economics key user ,Economics user in Branchoffice
23,Economics.power,Role Economics power user,Economics power user in headoffice - global settings
42,Economics.regimes,Role: additional permission for Economics user to access Regime Library,
177,Economics.regimes.readonly,Role: readonly access to the regimes lib,readonly access to the regimes lib
89,Economics.unlock,Role Economics.unlock,unlock objects in Economics
2,Everyone,Default workgroup.,This group consists only public permission on the engine.
309,Financials.base,Role: Access to Financials Module,
30,Financials.key,Role: Financials key user,Controlling key user in Branchoffice
29,Financials.power,Role: Financials power user,Controlling power user  in Headoffice
43,Financials.regimes,Role: additional permission for Financials user to access Regime Library,
368,Financials.regimes.readonly,readonly access to the regimes lib,readonly access to the regimes lib
166,Financials.unlock,Role: Financials.unlock,unlock objects in Financials
44,Input.Approve,Tag.Input.Approve,
48,Input.Confirm,Tag Input.Confirm,
284,Input.Confirm.PET,specific group for Petrom Projectmanagers Tag-access,Light user type PM.  Currently only configured for Petrom
121,license.heavy,Heavy license users,to manage the license-requirments
131,license.light,Light licences users,to manage the license-requirments
371,non.OMV,Group used to deny access to OMV hierarchy,Group used to deny access to OMV hierarchy
367,OA.Admin,Interface: Opportunity Assessor,
41,P2V.admin,Plan2Value administrators,permissions to almost everything
20,P2V.base,P2V (everyone) access.,
7,P2V.developer,Group of internal/external developers,all external AUCERNA experts to support 
6,PetroVR,Interface: PetroVR user,Was previously used to Headless Economics calculation via PetroVR.  Now redundant as PetroVR users are given access via Economics.base.  Will retain workgroup as may be required if new EAAS PVR module every used or Direct PVR-DF loading used.
25,Portfolio.base,Role: Access to Portfolio Tool,
370,Portfolio.key,Role: Portfolio users enhanced,incl configure Templates and Variables
37,Reporting,Interface: External Data using Odata,permissions to use Odata as interface
107,Reserves.Administrator,Reserves.Administrator,
69,Reserves.Approver,Reserves.Approver,
108,Reserves.Approver.bo,Reserves.Approver.bo,
106,Reserves.Approver.ho,Reserves.Approver.ho,
66,Reserves.base,Role: Access to Reserves Module,
32,Reserves.key,Role: Reserves key user,
31,Reserves.power,Reserves.power,
68,Reserves.Security,Reserves.useradmin + Reserves.DataAdmin,
105,Reserves.Submitter,Reserves.Submitter,
281,rollover,Workgroup used to limit access during the rollover activities,
282,SecurityAdministrators,Default Security Administrators,
280,systemcheck,workgroup to perform functionaly tests after MW ,
86,T.ADJUST.admin.deny,DF Admin Tab DENY access,Adjustment Document only
79,T.ADJUST.admin.full,DF Admin Tab FULL access,Adjustment Document only
80,T.ADJUST.admin.readonly,DF Admin Tab READ access,Adjustment Document only
346,T.ADJUST.calc.deny,DF Calculation Tab DENY access,
361,T.ADJUST.calc.full,DF Calculation Tab FULL access,
342,T.ADJUST.calc.readonly,DF Calculation Tab READ access,
75,T.ADJUST.economics.deny,DF Eco Input Tab DENY access,Adjustment Document only
73,T.ADJUST.economics.full,DF Eco Input Tab FULL access,Adjustment Document only
74,T.ADJUST.economics.readonly,DF Eco Input Tabs READ access,Adjustment Document only
78,T.ADJUST.ecoresults.deny,DF Eco Results Tab DENY access,Adjustment Document only
76,T.ADJUST.ecoresults.full,DF Eco Results Tab FULL access,Adjustment Document only
77,T.ADJUST.ecoresults.readonly,DF Eco Results Tab READ access,Adjustment Document only
87,T.ADJUST.financials.deny,DF Fin Input Tab DENY access,Adjustment Document only
81,T.ADJUST.financials.full,DF Fin Input Tab FULL access,Adjustment Document only
82,T.ADJUST.financials.readonly,DF Fin Input Tabs READ access,Adjustment Document only
85,T.ADJUST.input.deny,DF Input Tabs DENY access,Adjustment Document only
83,T.ADJUST.input.full,DF Input Tabs FULL access,Adjustment Document only
84,T.ADJUST.input.readonly,DF Input Tabs READ access,Adjustment Document only
296,T.ADJUST.overview.deny,DF Overview Tab DENY access,Adjustment Document only
292,T.ADJUST.overview.full,DF Overview Tab FULL access,Adjustment Document only
334,T.ADJUST.overview.readonly,DF Overview Tabs READ access,Adjustment Document only
54,T.PRMS.admin.deny,DF Admin Tab DENY access,
52,T.PRMS.admin.full,DF Admin Tab FULL access,
53,T.PRMS.admin.readonly,DF Admin Tab READ access,
274,T.PRMS.calc.deny,DF Calculation Tab DENY access,
278,T.PRMS.calc.full,DF Calculation Tab FULL access,DF Templates: Calculation Tab full access
279,T.PRMS.calc.readonly,DF Calculation Tab READ access,
51,T.PRMS.economics.deny,DF Eco Input Tab DENY access,
49,T.PRMS.economics.full,DF Eco Input Tab FULL access,
50,T.PRMS.economics.readonly,DF Eco Input Tab READ access,
72,T.PRMS.ecoresults.deny,DF Eco Results Tab DENY access,
70,T.PRMS.ecoresults.full,DF Eco Results Tab FULL access,
71,T.PRMS.ecoresults.readonly,DF Eco Results Tab READ access,
57,T.PRMS.financials.deny,DF Fin Input Tab DENY access,
55,T.PRMS.financials.full,DF Fin Input Tab FULL access,
56,T.PRMS.financials.readonly,DF Fin Input Tab READ access,
60,T.PRMS.input.deny,DF Input Tabs DENY access,Overview: Production: Cap Up-Down: Capex: Opex & Other Revenue: Resources/Reserves
58,T.PRMS.input.full,DF Input Tabs FULL access,Overview: Production: Cap Up-Down: Capex: Opex & Other Revenue: Resources/Reserves
59,T.PRMS.input.readonly,DF Input Tabs READ access,Overview: Production: Cap Up-Down: Capex: Opex & Other Revenue: Resources/Reserves
277,T.PRMS.quicklook.deny,DF Quicklook Tab DENY access,
275,T.PRMS.quicklook.full,DF Quicklook Tab FULL access,
276,T.PRMS.quicklook.readonly,DF Quicklook Tab READ access,
38,User.admin,User for useradministration,permissions to add/change user /workgroup assignments
375,V.MTP.readonly,user who are only allowed to access this version readonly,versions 2022 LEAD - 2022 STRESS
373,V.Portfolio.readonly,user who are only allowed to access this version readonly,version Evergreen Portfolio
288,XXX.A01.profile.UltraLight,PROBABLY NOT REQUIRED. Lightest possible base profile for basic interfaces Access to API via reporting workgroup.,Lightest possible base profile on which to apply interface increments eg used as a base to apply eg CAPDAT, PetroVR interfaces. 
102,Z.BD.001.allow,Group of people allowed to see the specific project data,NAUTILUS
103,Z.BD.001.deny,Group of people NOT allowed to see this project data,NAUTILUS
196,Z.BD.002.allow,Group of people allowed to see the specific project data,TANIA
197,Z.BD.002.deny,Group of people NOT allowed to see this project data,TANIA
198,Z.BD.003.allow,Group of people allowed to see the specific project data,LEXY
199,Z.BD.003.deny,Group of people NOT allowed to see this project data,LEXY
207,Z.BD.004.allow,Group of people allowed to see the specific project data,Violin
202,Z.BD.004.deny,Group of people NOT allowed to see this project data,Violin
201,Z.BD.005.allow,Group of people allowed to see the specific project data,Elios
204,Z.BD.005.deny,Group of people NOT allowed to see this project data,Elios
203,Z.BD.006.allow,Group of people allowed to see the specific project data,Alya
205,Z.BD.006.deny,Group of people NOT allowed to see this project data,Alya
206,Z.BD.007.allow,Group of people allowed to see the specific project data,Athena 
200,Z.BD.007.deny,Group of people NOT allowed to see this project data,Athena 
502,Z.BD.008.allow,Group of people allowed to see the specific project data,new group - not yet used
503,Z.BD.008.deny,Group of people NOT allowed to see this project data,new BD group - not yet used
247,Z.BD.009.allow,Group of people allowed to see the specific project data,Nay
230,Z.BD.009.deny,Group of people NOT allowed to see this project data,Nay
250,Z.BD.010.allow,Group of people allowed to see the specific project data,Sitar + Cajon
229,Z.BD.010.deny,Group of people NOT allowed to see this project data,Sitar + Cajon
228,Z.BD.011.allow,Group of people allowed to see the specific project data,PEC Timis Pr - Divestments round 3 and 4 
249,Z.BD.011.deny,Group of people NOT allowed to see this project data,PEC Timis Pr - Divestments round 3 and 4 
226,Z.BD.012.allow,Group of people allowed to see the specific project data,PEC Turnu Pr - Divestments round 3 and 4 
227,Z.BD.012.deny,Group of people NOT allowed to see this project data,PEC Turnu Pr - Divestments round 3 and 4 
369,Z.BD.013.allow,Group of people allowed to see the specific project data,Nereus
235,Z.BD.013.deny,Group of people NOT allowed to see this project data,Nereus
248,Z.BD.014.allow,Group of people allowed to see the specific project data,Kobza
237,Z.BD.014.deny,Group of people NOT allowed to see this project data,Kobza
245,Z.BD.015.allow,Group of people allowed to see the specific project data,Field Analysis Romania
251,Z.BD.015.deny,Group of people NOT allowed to see this project data,Field Analysis Romania
246,Z.BD.016.allow,Group of people allowed to see the specific project data,LCB strictly confidential projects
241,Z.BD.016.deny,Group of people NOT allowed to see this project data,LCB strictly confidential projects
231,Z.BD.017.allow,Group of people allowed to see the specific project data,Harmonica
236,Z.BD.017.deny,Group of people NOT allowed to see this project data,Harmonica
244,Z.BD.018.allow,Group of people allowed to see the specific project data,EAO
232,Z.BD.018.deny,Group of people NOT allowed to see this project data,EAO
239,Z.BD.019.allow,Group of people allowed to see the specific project data,WELL Analysis Romania
240,Z.BD.019.deny,Group of people NOT allowed to see this project data,WELL Analysis Romania
242,Z.BD.020.allow,Group of people allowed to see the specific project data, NAMR,NAMR RO
233,Z.BD.020.deny,Group of people allowed to see the specific project data, NAMR,NAMR RO
355,Z.BD.021.allow,Group of people allowed to see the specific project data,ADNOC-AE UmmLuluSarb All
349,Z.BD.021.deny,Group of people NOT allowed to see this project data,ADNOC-AE UmmLuluSarb All
317,Z.BD.022.allow,Group of people allowed to see the specific project data,ADNOC-AE Ghasha Confidential 
339,Z.BD.022.deny,Group of people NOT allowed to see this project data,ADNOC-AE Ghasha Confidential 
304,Z.BD.023.allow,Group of people allowed to see the specific project data - Do not touch special project,Do not touch special project
329,Z.BD.023.deny,Group of people NOT allowed to see this project data - Do not touch special project,Do not touch special project
360,Z.BD.024.allow,Group of people allowed to see the specific project data,Project P Romania
320,Z.BD.024.deny,Group of people NOT allowed to see this project data,Project P Romania
359,Z.BD.025.allow,Group of people allowed to see the specific project data,Project S*
316,Z.BD.025.deny,Group of people NOT allowed to see this project data,Project S*
310,Z.BD.026.allow,Group of people allowed to see the specific project data,RADE
328,Z.BD.026.deny,Group of people NOT allowed to see this project data,RADE
299,Z.BD.027.allow,Group of people allowed to see the specific project data,LCB BD Working Area AUT
321,Z.BD.027.deny,Group of people NOT allowed to see this project data,LCB BD Working Area AUT
323,Z.BD.028.allow,Group of people allowed to see the specific project data,LCB BD Working Area TUN
297,Z.BD.028.deny,Group of people NOT allowed to see this project data,LCB BD Working Area TUN
325,Z.BD.029.allow,Group of people allowed to see the specific project data,LCB BD Working Area ROM
313,Z.BD.029.deny,Group of people NOT allowed to see this project data,LCB BD Working Area ROM
319,Z.BD.030.allow,Group of people allowed to see the specific project data,LCB BD Working Area HUN
344,Z.BD.030.deny,Group of people NOT allowed to see this project data,LCB BD Working Area HUN
392,Z.BD.031.allow,Group of people allowed to see the specific project data,LCB BD Working Area GER
395,Z.BD.031.deny,Group of people NOT allowed to see this project data,LCB BD Working Area GER
383,Z.BD.032.allow,Group of people allowed to see the specific project data,LCB BD Working Area SWE
376,Z.BD.032.deny,Group of people NOT allowed to see this project data,LCB BD Working Area SWE
379,Z.BD.033.allow,Group of people allowed to see the specific project data,N project
381,Z.BD.033.deny,Group of people NOT allowed to see this project data,N project
384,Z.BD.034.allow,Group of people allowed to see the specific project data,Fida-BD
385,Z.BD.034.deny,Group of people NOT allowed to see this project data,Fida-BD
390,Z.BD.035.allow,Group of people allowed to see the specific project data,CCS International
389,Z.BD.035.deny,Group of people NOT allowed to see this project data,CCS International
382,Z.BD.036.allow,Group of people allowed to see the specific project data,Project G*
394,Z.BD.036.deny,Group of people NOT allowed to see this project data,Project G*
393,Z.BD.037.allow,Group of people allowed to see the specific project data,not in use
391,Z.BD.037.deny,Group of people NOT allowed to see this project data,not in use
386,Z.BD.038.allow,Group of people allowed to see the specific project data,not in use
388,Z.BD.038.deny,Group of people NOT allowed to see this project data,not in use
377,Z.BD.039.allow,Group of people allowed to see the specific project data,not in use
380,Z.BD.039.deny,Group of people NOT allowed to see this project data,not in use
378,Z.BD.040.allow,Group of people allowed to see the specific project data,not in use
387,Z.BD.040.deny,Group of people NOT allowed to see this project data,not in use
485,Z.BD.041.allow,Group of people allowed to see the specific project data,not in use
490,Z.BD.041.deny,Group of people NOT allowed to see this project data,not in use
483,Z.BD.042.allow,Group of people allowed to see the specific project data,not in use
486,Z.BD.042.deny,Group of people NOT allowed to see this project data,not in use
484,Z.BD.043.allow,Group of people allowed to see the specific project data,not in use
478,Z.BD.043.deny,Group of people NOT allowed to see this project data,not in use
479,Z.BD.044.allow,Group of people allowed to see the specific project data,not in use
480,Z.BD.044.deny,Group of people NOT allowed to see this project data,not in use
487,Z.BD.045.allow,Group of people allowed to see the specific project data,not in use
494,Z.BD.045.deny,Group of people NOT allowed to see this project data,not in use
481,Z.BD.046.allow,Group of people allowed to see the specific project data,not in use
493,Z.BD.046.deny,Group of people NOT allowed to see this project data,not in use
499,Z.BD.047.allow,Group of people allowed to see the specific project data,not in use
500,Z.BD.047.deny,Group of people NOT allowed to see this project data,not in use
488,Z.BD.048.allow,Group of people allowed to see the specific project data,not in use
491,Z.BD.048.deny,Group of people NOT allowed to see this project data,not in use
482,Z.BD.049.allow,Group of people allowed to see the specific project data,not in use
501,Z.BD.049.deny,Group of people NOT allowed to see this project data,not in use
496,Z.BD.050.allow,Group of people allowed to see the specific project data,not in use
492,Z.BD.050.deny,Group of people NOT allowed to see this project data,not in use
