Id,Name,Description,Comments
324,data.Austria.Other,Data access to country Austria (Other functions or light Economics/Finance users),This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Caters for "light" functional users
45,data.Austria.Planning,Data access to country Austria (full access),[DATA] PRMS full access
442,data.Austria.PRMS,Data access to country Austria (PRMS),Dedicated group for PRMS users  (restrict access to PRMS nodetypes)
222,data.Austria.Reserves,Data access to country Austria (Reserves),[DATA] PRMS create-read-update-delete 
33,data.BD.project,Business Development project ,Business Development power user HO
164,data.Bulgaria,Data access to country Bulgaria,[DATA] PRMS read-update
301,data.Bulgaria.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
116,data.Bulgaria.Economics,Data access to country Bulgaria (economist),[DATA] PRMS create-read-update-delete 
154,data.Bulgaria.Finance,Data access to country Bulgaria (financials),[DATA] PRMS create-read-update-delete 
429,data.Bulgaria.LCB,Data access to country Bulgaria (LCB),Dedicated group for LCB users  (restrict access to LCB nodetypes)
363,data.Bulgaria.Other,Data access to country Bulgaria (Other functions or light Economics/Finance users),This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for "light" functional users
137,data.Bulgaria.Planning,Data access to country Bulgaria (full access),[DATA] PRMS full access
258,data.Bulgaria.Portfolio,Data access to country Bulgaria (Portfolio),
456,data.Bulgaria.PRMS,Data access to country Bulgaria (PRMS),Dedicated group for PRMS users  (restrict access to PRMS nodetypes)
217,data.Bulgaria.Reserves,Data access to country Bulgaria (Reserves),[DATA] PRMS create-read-update-delete 
8,data.Corporate,Data access to ALL countries,[DATA] PRMS read-update
285,data.Corporate.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
95,data.Corporate.Economics,Data access to ALL countries (economist),[DATA] PRMS create-read-update-delete 
101,data.Corporate.Finance,Data access to ALL countries (financials),[DATA] PRMS create-read-update-delete 
447,data.Corporate.LCB,Data access to ALL countries (LCB),Dedicated group for LCB users  (restrict access to LCB nodetypes)
350,data.Corporate.Other,Data access to ALL countries for users that are not members of data.corporate.functions or light Economics/Finance users,This is for anyone that is not a member of one of the other groups.  Data.Corporate less Data.Corporate.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for "light" functional users
88,data.Corporate.Planning,Data access to ALL countries (full access),[DATA] PRMS full access
252,data.Corporate.Portfolio,Data access to ALL countries (Portfolio) - used by Portfolio to load marked resultsets,
467,data.Corporate.PRMS,Data access to ALL countries (PRMS),Dedicated group for PRMS users  (restrict access to PRMS nodetypes)
109,data.Corporate.Reserves,Data access to ALL countries (Reserves) - used by Reserves to load marked resultsets,[DATA] PRMS create-read-update-delete 
409,data.Croatia,Data access to country Croatia,[DATA] PRMS read-update
411,data.Croatia.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
417,data.Croatia.Economics,Data access to country Croatia (economist),[DATA] PRMS create-read-update-delete 
418,data.Croatia.Finance,Data access to country Croatia (financials),[DATA] PRMS create-read-update-delete 
464,data.Croatia.LCB,Data access to country Croatia (LCB),Dedicated group for LCB users  (restrict access to LCB nodetypes)
414,data.Croatia.Other,Data access to country Croatia (Other functions or light Economics/Finance users),This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for "light" functional users
420,data.Croatia.Planning,Data access to country Croatia (full access),[DATA] PRMS full access
424,data.Croatia.Portfolio,Data access to country Croatia (Portfolio),
471,data.Croatia.PRMS,Data access to country Croatia (PRMS),Dedicated group for PRMS users  (restrict access to PRMS nodetypes)
402,data.Croatia.Reserves,Data access to country Croatia (Reserves),[DATA] PRMS create-read-update-delete 
176,data.Everyone.Economics,Combining all data.country.Economics and data.corporate.Economics,Combining all data.country/corporate.Economists
318,data.Everyone.Finance,Combining all data.country.Finance and data.corporate.Finance,
149,data.Georgia,Data access to country Georgia,[DATA] PRMS read-update
356,data.Georgia.CAPDAT,Data access for selected PMs for loading PSE RS to CAPDAT,For nominated project managers who will load selected PSE results sets into CAPDAT
152,data.Georgia.Economics,Data access to country Georgia (economist),[DATA] PRMS create-read-update-delete 
129,data.Georgia.Finance,Data access to country Georgia (financials),[DATA] PRMS create-read-update-delete 
449,data.Georgia.LCB,Data access to country Georgia (LCB),Dedicated group for LCB users  (restrict access to LCB nodetypes)
358,data.Georgia.Other,Data access to country Georgia (Other functions or light Economics/Finance users),This is for anyone that is not a member of one of the other groups.  Data.Country less Data.Country.Functions (Economics, or Finance or Planning, Portfolio, Reserves ....).  Also caters for "light" functional users
126,data.Georgia.Planning,Data access to country Georgia (full access),[DATA] PRMS full access
261,data.Georgia.Portfolio,Data access to country Georgia (Portfolio),
440,data.Georgia.PRMS,Data access to country Georgia (PRMS),Dedicated group for PRMS users  (restrict access to PRMS nodetypes)
