displayprofile,profile,groups,Ptype,type,lic
profile.Reserves.Headoffice.Power,profile.Reserves.Headoffice.Power,P2V.base,[Profile],General,
profile.Reserves.Headoffice.Power,profile.Reserves.Headoffice.Power,Portfolio,[Profile],Portfolio,
profile.Reserves.Headoffice.Power,profile.Reserves.Headoffice.Power,profile.Reserves.Headoffice.Power,[Profile],PROFILE,
profile.Reserves.Headoffice.Power,profile.Reserves.Headoffice.Power,Reporting,[Profile],API,
profile.Reserves.Headoffice.Power,profile.Reserves.Headoffice.Power,Reserves.Administrator,[Profile],Reserves,
profile.Reserves.Headoffice.Power,profile.Reserves.Headoffice.Power,Reserves.base,[Profile],Reserves,
profile.Reserves.Headoffice.Power,profile.Reserves.Headoffice.Power,Reserves.key,[Profile],Reserves,
profile.Reserves.Headoffice.Power,profile.Reserves.Headoffice.Power,Reserves.power,[Profile],Reserves,
profile.Reserves.Headoffice.Power,profile.Reserves.Headoffice.Power,temp.adjust.admin.readonly,[Profile],Template,
profile.Reserves.Headoffice.Power,profile.Reserves.Headoffice.Power,temp.adjust.eco.readonly,[Profile],Template,
profile.Reserves.Headoffice.Power,profile.Reserves.Headoffice.Power,temp.adjust.ecoresults.deny,[Profile],Template,
profile.Reserves.Headoffice.Power,profile.Reserves.Headoffice.Power,temp.adjust.fin.readonly,[Profile],Template,
profile.Reserves.Headoffice.Power,profile.Reserves.Headoffice.Power,temp.adjust.input.readonly,[Profile],Template,
profile.Reserves.Headoffice.Power,profile.Reserves.Headoffice.Power,temp.economics.readonly,[Profile],Template,
profile.Reserves.Headoffice.Power,profile.Reserves.Headoffice.Power,temp.ecoresults.readonly,[Profile],Template,
profile.Reserves.Headoffice.Power,profile.Reserves.Headoffice.Power,temp.financials.deny,[Profile],Template,
profile.Reserves.Headoffice.Power,profile.Reserves.Headoffice.Power,temp.input,[Profile],Template,
profile.Reserves.Headoffice.Power,profile.Reserves.Headoffice.Power,temp.admin.readonly,[Profile],Template,
profile.Reserves.local.Approve,profile.Reserves.local.Approve,data.Corporate,[Profile],DATA,
profile.Reserves.local.Approve,profile.Reserves.local.Approve,Input.Approve,[Profile],General,
profile.Reserves.local.Approve,profile.Reserves.local.Approve,license.light,[Profile],License,
profile.Reserves.local.Approve,profile.Reserves.local.Approve,P2V.base,[Profile],General,
profile.Reserves.local.Approve,profile.Reserves.local.Approve,Portfolio,[Profile],Portfolio,
profile.Reserves.local.Approve,profile.Reserves.local.Approve,profile.Reserves.local.Approve,[Profile],PROFILE,
profile.Reserves.local.Approve,profile.Reserves.local.Approve,Reporting,[Profile],API,
profile.Reserves.local.Approve,profile.Reserves.local.Approve,Reserves.Approver.bo,[Profile],Reserves,
profile.Reserves.local.Approve,profile.Reserves.local.Approve,Reserves.base,[Profile],Reserves,
profile.Reserves.local.Approve,profile.Reserves.local.Approve,temp.adjust.admin.readonly,[Profile],Template,
profile.Reserves.local.Approve,profile.Reserves.local.Approve,temp.adjust.eco.readonly,[Profile],Template,
profile.Reserves.local.Approve,profile.Reserves.local.Approve,temp.adjust.ecoresults.readonly,[Profile],Template,
profile.Reserves.local.Approve,profile.Reserves.local.Approve,temp.adjust.fin.deny,[Profile],Template,
profile.Reserves.local.Approve,profile.Reserves.local.Approve,temp.adjust.input.readonly,[Profile],Template,
profile.Reserves.local.Approve,profile.Reserves.local.Approve,temp.economics.readonly,[Profile],Template,
profile.Reserves.local.Approve,profile.Reserves.local.Approve,temp.ecoresults.deny,[Profile],Template,
profile.Reserves.local.Approve,profile.Reserves.local.Approve,temp.financials.deny,[Profile],Template,
profile.Reserves.local.Approve,profile.Reserves.local.Approve,temp.input,[Profile],Template,
profile.Reserves.local.Approve,profile.Reserves.local.Approve,temp.admin.readonly,[Profile],Template,
profile.Reserves.local.QRE,profile.Reserves.local.QRE,Input.Confirm,[Profile],General,
profile.Reserves.local.QRE,profile.Reserves.local.QRE,license.heavy,[Profile],License,
profile.Reserves.local.QRE,profile.Reserves.local.QRE,P2V.base,[Profile],General,
profile.Reserves.local.QRE,profile.Reserves.local.QRE,Portfolio,[Profile],Portfolio,
profile.Reserves.local.QRE,profile.Reserves.local.QRE,profile.Reserves.local.QRE,[Profile],PROFILE,
profile.Reserves.local.QRE,profile.Reserves.local.QRE,Reporting,[Profile],API,
profile.Reserves.local.QRE,profile.Reserves.local.QRE,Reserves.base,[Profile],Reserves,
profile.Reserves.local.QRE,profile.Reserves.local.QRE,Reserves.key,[Profile],Reserves,
profile.Reserves.local.QRE,profile.Reserves.local.QRE,Reserves.Submitter,[Profile],Reserves,
profile.Reserves.local.QRE,profile.Reserves.local.QRE,temp.adjust.admin.readonly,[Profile],Template,
profile.Reserves.local.QRE,profile.Reserves.local.QRE,temp.adjust.eco.readonly,[Profile],Template,
profile.Reserves.local.QRE,profile.Reserves.local.QRE,temp.adjust.ecoresults.deny,[Profile],Template,
profile.Reserves.local.QRE,profile.Reserves.local.QRE,temp.adjust.fin.deny,[Profile],Template,
profile.Reserves.local.QRE,profile.Reserves.local.QRE,temp.adjust.input.readonly,[Profile],Template,
profile.Reserves.local.QRE,profile.Reserves.local.QRE,temp.economics.readonly,[Profile],Template,
profile.Reserves.local.QRE,profile.Reserves.local.QRE,temp.ecoresults.deny,[Profile],Template,
profile.Reserves.local.QRE,profile.Reserves.local.QRE,temp.financials.deny,[Profile],Template,
profile.Reserves.local.QRE,profile.Reserves.local.QRE,temp.input,[Profile],Template,
profile.Reserves.local.QRE,profile.Reserves.local.QRE,temp.admin.readonly,[Profile],Template,
profile.Reserves.readonly,profile.Reserves.readonly,license.light,[Profile],License,
profile.Reserves.readonly,profile.Reserves.readonly,P2V.base,[Profile],General,
profile.Reserves.readonly,profile.Reserves.readonly,Portfolio,[Profile],Portfolio,
profile.Reserves.readonly,profile.Reserves.readonly,profile.Reserves.readonly,[Profile],PROFILE,
profile.Reserves.readonly,profile.Reserves.readonly,Reporting,[Profile],API,
profile.Reserves.readonly,profile.Reserves.readonly,Reserves.base,[Profile],Reserves,
profile.Reserves.readonly,profile.Reserves.readonly,temp.adjust.admin.readonly,[Profile],Template,
profile.Reserves.readonly,profile.Reserves.readonly,temp.adjust.eco.readonly,[Profile],Template,
profile.Reserves.readonly,profile.Reserves.readonly,temp.adjust.ecoresults.deny,[Profile],Template,
profile.Reserves.readonly,profile.Reserves.readonly,temp.adjust.fin.deny,[Profile],Template,
profile.Reserves.readonly,profile.Reserves.readonly,temp.adjust.input.readonly,[Profile],Template,
profile.Reserves.readonly,profile.Reserves.readonly,temp.economics.readonly,[Profile],Template,
profile.Reserves.readonly,profile.Reserves.readonly,temp.ecoresults.readonly,[Profile],Template,
profile.Reserves.readonly,profile.Reserves.readonly,temp.financials.deny,[Profile],Template,
profile.Reserves.readonly,profile.Reserves.readonly,temp.input,[Profile],Template,
profile.Reserves.readonly,profile.Reserves.readonly,temp.admin.readonly,[Profile],Template,
profile.Resources.Headoffice,profile.Resources.Headoffice,Input.Approve,[Profile],General,
profile.Resources.Headoffice,profile.Resources.Headoffice,license.light,[Profile],License,
profile.Resources.Headoffice,profile.Resources.Headoffice,P2V.base,[Profile],General,
profile.Resources.Headoffice,profile.Resources.Headoffice,Portfolio,[Profile],Portfolio,
profile.Resources.Headoffice,profile.Resources.Headoffice,profile.Resources.Headoffice,[Profile],PROFILE,
profile.Resources.Headoffice,profile.Resources.Headoffice,Reporting,[Profile],API,
profile.Resources.Headoffice,profile.Resources.Headoffice,temp.adjust.admin.readonly,[Profile],Template,
profile.Resources.Headoffice,profile.Resources.Headoffice,temp.adjust.eco.readonly,[Profile],Template,
profile.Resources.Headoffice,profile.Resources.Headoffice,temp.adjust.ecoresults.deny,[Profile],Template,
profile.Resources.Headoffice,profile.Resources.Headoffice,temp.adjust.fin.readonly,[Profile],Template,
profile.Resources.Headoffice,profile.Resources.Headoffice,temp.adjust.input.readonly,[Profile],Template,
profile.Resources.Headoffice,profile.Resources.Headoffice,temp.admin,[Profile],Template,
profile.Resources.Headoffice,profile.Resources.Headoffice,temp.economics.readonly,[Profile],Template,
profile.Resources.Headoffice,profile.Resources.Headoffice,temp.ecoresults.deny,[Profile],Template,
profile.Resources.Headoffice,profile.Resources.Headoffice,temp.financials.deny,[Profile],Template,
profile.Resources.Headoffice,profile.Resources.Headoffice,temp.input,[Profile],Template,
profile.Resources.local,profile.Resources.local,Input.Confirm,[Profile],General,
profile.Resources.local,profile.Resources.local,license.light,[Profile],License,
profile.Resources.local,profile.Resources.local,P2V.base,[Profile],General,
profile.Resources.local,profile.Resources.local,Portfolio,[Profile],Portfolio,
profile.Resources.local,profile.Resources.local,profile.Resources.local,[Profile],PROFILE,
profile.Resources.local,profile.Resources.local,Reporting,[Profile],API,
profile.Resources.local,profile.Resources.local,temp.adjust.admin.readonly,[Profile],Template,
profile.Resources.local,profile.Resources.local,temp.adjust.eco.readonly,[Profile],Template,
profile.Resources.local,profile.Resources.local,temp.adjust.ecoresults.deny,[Profile],Template,
profile.Resources.local,profile.Resources.local,temp.adjust.fin.readonly,[Profile],Template,
profile.Resources.local,profile.Resources.local,temp.adjust.input.readonly,[Profile],Template,
profile.Resources.local,profile.Resources.local,temp.admin.readonly,[Profile],Template,
profile.Resources.local,profile.Resources.local,temp.economics.readonly,[Profile],Template,
profile.Resources.local,profile.Resources.local,temp.ecoresults.deny,[Profile],Template,
profile.Resources.local,profile.Resources.local,temp.financials.deny,[Profile],Template,
profile.Resources.local,profile.Resources.local,temp.input,[Profile],Template,
profile.Student.local,profile.Student.local,DataFlow.key,[Profile],DataFlow,
profile.Student.local,profile.Student.local,Economics.key,[Profile],Economics,
profile.Student.local,profile.Student.local,Financials.key,[Profile],Financials,
profile.Student.local,profile.Student.local,Input.Confirm,[Profile],General,
profile.Student.local,profile.Student.local,license.heavy,[Profile],License,
profile.Student.local,profile.Student.local,P2V.base,[Profile],General,
profile.Student.local,profile.Student.local,Portfolio,[Profile],Portfolio,
profile.Student.local,profile.Student.local,profile.Student.local,[Profile],PROFILE,
profile.Student.local,profile.Student.local,Reporting,[Profile],API,
profile.Student.local,profile.Student.local,Reserves.base,[Profile],Reserves,
profile.Student.local,profile.Student.local,Reserves.key,[Profile],Reserves,
profile.Student.local,profile.Student.local,temp.admin,[Profile],Template,
profile.Student.local,profile.Student.local,temp.adjust.admin,[Profile],Template,
profile.Student.local,profile.Student.local,temp.adjust.eco,[Profile],Template,
profile.Student.local,profile.Student.local,temp.adjust.ecoresults,[Profile],Template,
profile.Student.local,profile.Student.local,temp.adjust.fin,[Profile],Template,
profile.Student.local,profile.Student.local,temp.adjust.input,[Profile],Template,
profile.Student.local,profile.Student.local,temp.economics,[Profile],Template,
profile.Student.local,profile.Student.local,temp.ecoresults,[Profile],Template,
profile.Student.local,profile.Student.local,temp.financials,[Profile],Template,
profile.Student.local,profile.Student.local,temp.input,[Profile],Template,
