displayprofile,profile,groups,Ptype,type,lic
profile.Economics.Headoffice,profile.Economics.Headoffice,temp.adjust.ecoresults,[Profile],Template,
profile.Economics.Headoffice,profile.Economics.Headoffice,temp.adjust.fin.readonly,[Profile],Template,
profile.Economics.Headoffice,profile.Economics.Headoffice,temp.adjust.input,[Profile],Template,
profile.Economics.Headoffice,profile.Economics.Headoffice,temp.admin,[Profile],Template,
profile.Economics.Headoffice,profile.Economics.Headoffice,temp.economics,[Profile],Template,
profile.Economics.Headoffice,profile.Economics.Headoffice,temp.ecoresults,[Profile],Template,
profile.Economics.Headoffice,profile.Economics.Headoffice,temp.financials.readonly,[Profile],Template,
profile.Economics.Headoffice,profile.Economics.Headoffice,temp.input,[Profile],Template,
profile.Economics.Headoffice,profile.Economics.Headoffice,data.Everyone.economics,[Profile],Economics,
profile.Economics.local,profile.Economics.local,profile.Economics.local,[Profile],Economics,
profile.Economics.local,profile.Economics.local,P2V.base,[Profile],License,
profile.Economics.local,profile.Economics.local,Reporting,[Profile],General,
profile.Economics.local,profile.Economics.local,Economics.key,[Profile],Economics,
profile.Economics.local,profile.Economics.local,Economics.Regimes.readonly,[Profile],Economics,
profile.Economics.local,profile.Economics.local,Portfolio,[Profile],Portfolio,
profile.Economics.local,profile.Economics.local,Reserves.base,[Profile],Reserves,
profile.Economics.local,profile.Economics.local,license.heavy,[Profile],License,
profile.Economics.local,profile.Economics.local,temp.adjust.admin,[Profile],Template,
profile.Economics.local,profile.Economics.local,temp.adjust.eco,[Profile],Template,
profile.Economics.local,profile.Economics.local,temp.adjust.ecoresults,[Profile],Template,
profile.Economics.local,profile.Economics.local,temp.adjust.fin.readonly,[Profile],Template,
profile.Economics.local,profile.Economics.local,temp.adjust.input,[Profile],Template,
profile.Economics.local,profile.Economics.local,temp.admin,[Profile],Template,
profile.Economics.local,profile.Economics.local,temp.economics,[Profile],Template,
profile.Economics.local,profile.Economics.local,temp.ecoresults,[Profile],Template,
profile.Economics.local,profile.Economics.local,temp.financials.readonly,[Profile],Template,
profile.Economics.local,profile.Economics.local,temp.input,[Profile],Template,
profile.Economics.local,profile.Economics.local,data.Everyone.economics,[Profile],Economics,
profile.Finance.Headoffice,profile.Finance.Headoffice,profile.Finance.Headoffice,[Profile],Financials,
profile.Finance.Headoffice,profile.Finance.Headoffice,P2V.base,[Profile],Financials,
profile.Finance.Headoffice,profile.Finance.Headoffice,Reporting,[Profile],License,
profile.Finance.Headoffice,profile.Finance.Headoffice,Financials.key,[Profile],General,
profile.Finance.Headoffice,profile.Finance.Headoffice,Financials.power,[Profile],Portfolio,
profile.Finance.Headoffice,profile.Finance.Headoffice,Portfolio,[Profile],PROFILE,
profile.Finance.Headoffice,profile.Finance.Headoffice,license.heavy,[Profile],API,
profile.Finance.Headoffice,profile.Finance.Headoffice,temp.adjust.admin.readonly,[Profile],Template,
profile.Finance.Headoffice,profile.Finance.Headoffice,temp.adjust.eco,[Profile],Template,
profile.Finance.Headoffice,profile.Finance.Headoffice,temp.adjust.ecoresults,[Profile],Template,
profile.Finance.Headoffice,profile.Finance.Headoffice,temp.adjust.fin,[Profile],Template,
profile.Finance.Headoffice,profile.Finance.Headoffice,temp.adjust.input,[Profile],Template,
profile.Finance.Headoffice,profile.Finance.Headoffice,temp.economics.readonly,[Profile],Template,
profile.Finance.Headoffice,profile.Finance.Headoffice,temp.ecoresults.readonly,[Profile],Template,
profile.Finance.Headoffice,profile.Finance.Headoffice,temp.financials,[Profile],Template,
profile.Finance.Headoffice,profile.Finance.Headoffice,temp.input,[Profile],Template,
profile.Finance.Headoffice,profile.Finance.Headoffice,temp.admin.readonly,[Profile],Template,
profile.Finance.local,profile.Finance.local,profile.Finance.local,[Profile],Financials,
profile.Finance.local,profile.Finance.local,P2V.base,[Profile],License,
profile.Finance.local,profile.Finance.local,Reporting,[Profile],General,
profile.Finance.local,profile.Finance.local,Financials.key,[Profile],Portfolio,
profile.Finance.local,profile.Finance.local,Portfolio,[Profile],PROFILE,
profile.Finance.local,profile.Finance.local,license.heavy,[Profile],API,
profile.Finance.local,profile.Finance.local,temp.adjust.admin.readonly,[Profile],Template,
profile.Finance.local,profile.Finance.local,temp.adjust.eco,[Profile],Template,
profile.Finance.local,profile.Finance.local,temp.adjust.ecoresults,[Profile],Template,
profile.Finance.local,profile.Finance.local,temp.adjust.fin,[Profile],Template,
profile.Finance.local,profile.Finance.local,temp.adjust.input.readonly,[Profile],Template,
profile.Finance.local,profile.Finance.local,temp.economics.readonly,[Profile],Template,
profile.Finance.local,profile.Finance.local,temp.ecoresults.readonly,[Profile],Template,
profile.Finance.local,profile.Finance.local,temp.financials,[Profile],Template,
profile.Finance.local,profile.Finance.local,temp.input,[Profile],Template,
profile.Finance.local,profile.Finance.local,temp.admin.readonly,[Profile],Template,
profile.Finance.Regimes,profile.Finance.Regimes,license.heavy,[Profile],License,
profile.Finance.Regimes,profile.Finance.Regimes,profile.Finance.Regimes,[Profile],PROFILE,
profile.LightUser.Headoffice,profile.LightUser.Headoffice,license.light,[Profile],License,
profile.LightUser.Headoffice,profile.LightUser.Headoffice,P2V.base,[Profile],General,
profile.LightUser.Headoffice,profile.LightUser.Headoffice,profile.LightUser.Headoffice,[Profile],PROFILE,
profile.LightUser.Headoffice,profile.LightUser.Headoffice,Reporting,[Profile],API,
profile.LightUser.Headoffice,profile.LightUser.Headoffice,temp.adjust.admin.readonly,[Profile],Template,
profile.LightUser.Headoffice,profile.LightUser.Headoffice,temp.adjust.eco.readonly,[Profile],Template,
profile.LightUser.Headoffice,profile.LightUser.Headoffice,temp.adjust.ecoresults.readonly,[Profile],Template,
profile.LightUser.Headoffice,profile.LightUser.Headoffice,temp.adjust.fin.readonly,[Profile],Template,
profile.LightUser.Headoffice,profile.LightUser.Headoffice,temp.adjust.input.readonly,[Profile],Template,
profile.LightUser.Headoffice,profile.LightUser.Headoffice,temp.economics.readonly,[Profile],Template,
profile.LightUser.Headoffice,profile.LightUser.Headoffice,temp.ecoresults.readonly,[Profile],Template,
profile.LightUser.Headoffice,profile.LightUser.Headoffice,temp.financials.readonly,[Profile],Template,
profile.LightUser.Headoffice,profile.LightUser.Headoffice,temp.input.readonly,[Profile],Template,
profile.LightUser.Headoffice,profile.LightUser.Headoffice,temp.admin.readonly,[Profile],Template,
profile.LightUser.local,profile.LightUser.local,license.light,[Profile],License,
profile.LightUser.local,profile.LightUser.local,P2V.base,[Profile],General,
profile.LightUser.local,profile.LightUser.local,profile.LightUser.local,[Profile],PROFILE,
profile.LightUser.local,profile.LightUser.local,Reporting,[Profile],API,
profile.LightUser.local,profile.LightUser.local,temp.adjust.admin.readonly,[Profile],Template,
profile.LightUser.local,profile.LightUser.local,temp.adjust.eco.readonly,[Profile],Template,
profile.LightUser.local,profile.LightUser.local,temp.adjust.ecoresults.readonly,[Profile],Template,
profile.LightUser.local,profile.LightUser.local,temp.adjust.fin.readonly,[Profile],Template,
profile.LightUser.local,profile.LightUser.local,temp.adjust.input.readonly,[Profile],Template,
profile.LightUser.local,profile.LightUser.local,temp.economics.readonly,[Profile],Template,
profile.LightUser.local,profile.LightUser.local,temp.ecoresults.readonly,[Profile],Template,
profile.LightUser.local,profile.LightUser.local,temp.financials.readonly,[Profile],Template,
profile.LightUser.local,profile.LightUser.local,temp.input.readonly,[Profile],Template,
profile.LightUser.local,profile.LightUser.local,temp.admin.readonly,[Profile],Template,
profile.PetroVR,profile.PetroVR,P2V.base,[Profile],General,
profile.PetroVR,profile.PetroVR,PetroVR,[Profile],PetroVR,
profile.PetroVR,profile.PetroVR,profile.PetroVR,[Profile],PROFILE,
profile.PetroVR,profile.PetroVR,Reporting,[Profile],API,
profile.PetroVR,profile.PetroVR,temp.adjust.admin.deny,[Profile],Template,
profile.PetroVR,profile.PetroVR,temp.adjust.eco.deny,[Profile],Template,
profile.PetroVR,profile.PetroVR,temp.adjust.ecoresults.deny,[Profile],Template,
profile.PetroVR,profile.PetroVR,temp.adjust.fin.deny,[Profile],Template,
profile.PetroVR,profile.PetroVR,temp.adjust.input.deny,[Profile],Template,
profile.PetroVR,profile.PetroVR,temp.economics.readonly,[Profile],Template,
profile.PetroVR,profile.PetroVR,temp.ecoresults.readonly,[Profile],Template,
profile.PetroVR,profile.PetroVR,temp.financials.deny,[Profile],Template,
profile.PetroVR,profile.PetroVR,temp.input.readonly,[Profile],Template,
profile.PetroVR,profile.PetroVR,temp.admin.readonly,[Profile],Template,
