Name,Category,AD-group,PS-Profile-old,PS-Profile-New,comment,USERCLAIM,IDEA,#
P2V Planning & Portfolio Key User,PROFILE,dlg.WW.ADM-Services.P2V.PP.key,profile.Portfolio.Light,A06.profile.Light.Fin.Port,Finance and Portfolio Finance light users (readonly access) DF plus PSE/F/P,,,
P2V Planning & Portfolio Power User,???,dlg.WW.ADM-Services.P2V.PP.power,,,,,,
P2V Headoffice Administrator,not in use,dlg.WW.ADM-Services.P2V.profile.Admin.Headoffice,,,,,,
P2V Headoffice Economist,PROFILE,dlg.WW.ADM-Services.P2V.profile.Economics.Headoffice,profile.Economics.Headoffice,A15.profile.Economics.Plus,Base Economist enhanced with PSE Power and PSE Unlock roles,,,
P2V Local Country Economist,PROFILE,dlg.WW.ADM-Services.P2V.profile.Economics.local,profile.Economics.local,A13.profile.Economics.Classic,Base Economist (includes DF Unlock and Quicklook Admin),,,
P2V Headoffice Controller,PROFILE,dlg.WW.ADM-Services.P2V.profile.Finance.Headoffice,profile.Finance.Headoffice,A18.profile.Finance.Plus,Base Controller enhanced with PSF Power and PSF Unlock roles,,,
P2V Local Country Controller,PROFILE,dlg.WW.ADM-Services.P2V.profile.Finance.local,profile.Finance.local,A16.profile.Finance.Classic,Base Controller,,,
P2V Headoffice Readonly User,PROFILE,dlg.WW.ADM-Services.P2V.profile.LightUser.Headoffice,profile.LightUser.Headoffice,A04.profile.Light,Readonly access DF only (light user),,,
P2V Local Readonly User,,dlg.WW.ADM-Services.P2V.profile.LightUser.local,profile.LightUser.local,XXX.profile.LightUser.local,,,,
P2V Planning Plus,PROFILE,dlg.WW.ADM-Services.P2V.profile.Planning.Plus,,A11.profile.Planning.Plus,Enchanced Dataflow: (includes DF Power role; DF Tab FULL access),,,
P2V Headoffice PP User,PROFILE,dlg.WW.ADM-Services.P2V.profile.PP.Headoffice,profile.PP.Headoffice,A19.profile.Portfolio.Classic,OMV Portfolio role (standard user),,,
P2V Headoffice PP Power User,PROFILE,dlg.WW.ADM-Services.P2V.profile.PP.Headoffice.Power,profile.PP.Headoffice.Power,A26.profile.Portfolio.Plus,,,,
P2V Local Country PP User,PROFILE,dlg.WW.ADM-Services.P2V.profile.PP.local,profile.PP.local,A10.profile.Planning.Classic,Planner (includes DF Unlock),,,
P2V Projectmanager,PROFILE,dlg.WW.ADM-Services.P2V.profile.Projectmanager,profile.Projectmanager,A08.profile.Projectmanager.Classic,"P2V Classic Projectmanager role (data entry & ""full input"" tagging)",,,
P2V Projectmanager LCB,PROFILE,dlg.WW.ADM-Services.P2V.profile.Projectmanager.LCB,,A09.profile.Projectmanager.LCB,LCB Project Manager,,,
P2V Projectmanager Petrom,PROFILE,dlg.WW.ADM-Services.P2V.profile.Projectmanager.PET,profile.Projectmanager.RO,A07.profile.Projectmanager.PET,Read only Project Manager with Input.Confirm tag rights,,,
P2V Headoffice Reserves User,PROFILE,dlg.WW.ADM-Services.P2V.profile.Reserves.Headoffice,profile.Reserves.Headoffice,A21.profile.Reserves.Headoffice,OMV Corporate reserves role (standard user),,,
P2V Reserves Headoffice Approval,PROFILE,dlg.WW.ADM-Services.P2V.profile.Reserves.Headoffice.Approve,profile.Reserves.Headoffice.Approve,A23.profile.Reserves.Headoffice.Approve,special approval role for Headoffice RESERVES ,,,
P2V Headoffice Reserves Power User,PROFILE,dlg.WW.ADM-Services.P2V.profile.Reserves.Headoffice.Power,profile.Reserves.Headoffice.Power,A22.profile.Reserves.Headoffice.Power,OMV Corporate reserves role (power user),,,
P2V Reserves Local Approval,PROFILE,dlg.WW.ADM-Services.P2V.profile.Reserves.local.Approve,profile.Reserves.local.Approve,A27.profile.Reserves.local.Approve,,,,
P2V Local Country QRE,PROFILE,dlg.WW.ADM-Services.P2V.profile.Reserves.local.QRE,profile.Reserves.local.QRE,A20.profile.Reserves.local.QRE,Branch office QRE role,,,
P2V Reserves Readonly,PROFILE,dlg.WW.ADM-Services.P2V.profile.Reserves.readonly,profile.Reserves.readonly,A05.profile.Light.reserves,Reserves readonly role,,,
P2V Headoffice Exploration User,PROFILE,dlg.WW.ADM-Services.P2V.profile.Resources.Headoffice,profile.Resources.Headoffice,A24.profile.Exploration.Assurance,OMV Corporate Exploration Assurance user.  Previously profile.Resources.Headoffice,,,
P2V Local Country Exploration User,,dlg.WW.ADM-Services.P2V.profile.Resources.local,profile.Resources.local,XXX.profile.Resources.local,XXX.profile.Resources.local,,,
P2V Reserves Key User,not in use,dlg.WW.ADM-Services.P2V.RES.key,,,,,,
P2V Reserves Power User,not in use,dlg.WW.ADM-Services.P2V.RES.power,,,,,,
P2V Production Server Admin,SPECIAL,dlg.WW.ADM-Services.P2V.serveradmin,,,system access to serverconfiguration (adminxkey),,,
P2V Test Server Admin,SPECIAL,dlg.WW.ADM-Services.P2V.testserveradmin,,,system access to serverconfiguration (adminxkey),,,
P2V User Admin,SPECIAL,dlg.WW.ADM-Services.P2V.useradmin,User.admin,User.admin,User for useradministration,x,,
PetroVR,PROFILE,dlg.WW.ADM-Services.PetroVR,profile.PetroVR,A02.profile.PetroVR,PetroVR user access to PSE for Headless Calculation. ,,,
,,dlg.WW.ADM-Services.P2V.data.CHE,DATA,,data.Switzerland,,P2V Data Switzerland,
,,dlg.WW.ADM-Services.P2V.data.HRV,DATA,,data.Croatia,,P2V Data Croatia,
,,dlg.WW.ADM-Services.P2V.data.DEU,DATA,,data.Germany,,P2V Data Germany,
,,dlg.WW.ADM-Services.P2V.data.HUN,DATA,,data.Hungary,,P2V Data Hungary,
,,papp.drms.AE.UmmLuluSarb.all,BD,,Z.BD.021,,,
,,papp.drms.AE.GhashaConfidential,BD,,Z.BD.022,,,
,,dlg.WW.ADM-Services.P2V.data.access.PRMS,DATA,,data.access.PRMS.allow,,,
,,dlg.WW.ADM-Services.P2V.data.access.ADJUSTMENT,DATA,,data.access.ADJUST.allow,,,
,,dlg.WW.ADM-Services.P2V.data.access.GAS,DATA,,data.access.GAS.allow,,,
,,dlg.WW.ADM-Services.P2V.data.access.LCB,DATA,,data.access.LCB.allow,,,
